tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
1000.0,44.0,10.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,1.9111108190113257,1.0
1000.0,45.0,11.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,1.424520220079986,1.0
1000.0,46.0,12.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,47.0,13.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,48.0,14.0,8.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0
1000.0,49.0,3.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,1.66149026981191,3.037454388356295
1000.0,50.0,4.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,2.1811439857127812,1.0
1000.0,51.0,5.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,1.8297674826001866,1.6212023534338686
1000.0,52.0,6.0,9.0,2.0,0.0,1.0,0.0,1.0,0.0,2.474455391431454,1.0
1000.0,53.0,7.0,9.0,0.0,2.0,0.0,2.0,0.0,0.0,2.316480563134998,7.09044927886436
1000.0,54.0,8.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,1.881386987600573,1.6171109289718317
1000.0,55.0,9.0,9.0,1.0,2.0,0.0,2.0,1.0,0.0,2.2425724889773075,1.485584532041891
1000.0,56.0,10.0,9.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0363038114182643,1.0
1000.0,57.0,11.0,9.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1000.0,58.0,12.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,59.0,13.0,9.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
1000.0,60.0,14.0,9.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,61.0,3.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,2.1102245552916505,1.0
1000.0,62.0,4.0,10.0,2.0,0.0,1.0,0.0,1.0,0.0,1.5364458377690138,1.0
1000.0,63.0,5.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,1.871517235600196,1.0
1000.0,64.0,6.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,1.5068829493000984,1.0
1000.0,65.0,7.0,10.0,0.0,2.0,0.0,1.0,0.0,1.0,2.7781925774998717,1.0
1000.0,66.0,8.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,2.2958349036323447,1.0
1000.0,67.0,9.0,10.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0175390930979946,1.0
1000.0,68.0,10.0,10.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1000.0,69.0,11.0,10.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1000.0,70.0,12.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,71.0,13.0,10.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
1000.0,72.0,14.0,10.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,73.0,3.0,11.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,4.273095200604791
1000.0,74.0,4.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,1.03,1.0
1000.0,75.0,5.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,1.6514093594548596,6.088704746572425
1000.0,76.0,6.0,11.0,0.0,2.0,0.0,1.0,0.0,1.0,2.7671994542897704,1.0
1000.0,77.0,7.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,2.3565591976672953,1.0
1000.0,78.0,8.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,1.5579674166007653,1.0
1000.0,79.0,9.0,11.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1000.0,80.0,10.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,81.0,11.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,82.0,12.0,11.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
1000.0,83.0,13.0,11.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,84.0,14.0,11.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,85.0,3.0,12.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,86.0,4.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,1.384233870724446,1.0
1000.0,87.0,5.0,12.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,88.0,6.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,1.4394604777235356,1.0
1000.0,89.0,7.0,12.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.2720103592910794
1000.0,90.0,8.0,12.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0861225176696523
1000.0,91.0,9.0,12.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,92.0,10.0,12.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,93.0,11.0,12.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
1000.0,94.0,12.0,12.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
1000.0,95.0,13.0,12.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
1000.0,96.0,14.0,12.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,97.0,3.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,98.0,4.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,99.0,5.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,100.0,6.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,101.0,7.0,13.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,102.0,8.0,13.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
1000.0,103.0,9.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.201258938831452
1000.0,104.0,10.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,105.0,11.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,106.0,12.0,13.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
1000.0,107.0,13.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,108.0,14.0,13.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,109.0,3.0,14.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,110.0,4.0,14.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0
1000.0,111.0,5.0,14.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1000.0,112.0,6.0,14.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
1000.0,113.0,7.0,14.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
1000.0,114.0,8.0,14.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,115.0,9.0,14.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,116.0,10.0,14.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,117.0,11.0,14.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,118.0,12.0,14.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,119.0,13.0,14.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
1000.0,120.0,14.0,14.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,121.0,3.0,15.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,122.0,4.0,15.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,123.0,5.0,15.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1000.0,124.0,6.0,15.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,125.0,7.0,15.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,126.0,8.0,15.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,127.0,9.0,15.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,128.0,10.0,15.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,129.0,11.0,15.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
1000.0,130.0,12.0,15.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
1000.0,131.0,13.0,15.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,132.0,14.0,15.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,133.0,3.0,16.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,134.0,4.0,16.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,135.0,5.0,16.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,136.0,6.0,16.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,137.0,7.0,16.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,138.0,8.0,16.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
1000.0,139.0,9.0,16.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,140.0,10.0,16.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,141.0,11.0,16.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
1000.0,142.0,12.0,16.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,143.0,13.0,16.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,144.0,14.0,16.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,145.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,146.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,147.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,148.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,149.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,150.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,151.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,152.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,153.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,154.0,10.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,155.0,11.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,156.0,12.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,157.0,13.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,158.0,14.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,159.0,15.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,160.0,16.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,161.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,162.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,163.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,164.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,165.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,166.0,6.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,167.0,7.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,168.0,8.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0609,1.0
1000.0,169.0,9.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,170.0,10.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,171.0,11.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,172.0,12.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,173.0,13.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,174.0,14.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,175.0,15.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,176.0,16.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,177.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,178.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,179.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,180.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,181.0,5.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,182.0,6.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1000.0,183.0,7.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,184.0,8.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,185.0,9.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,186.0,10.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,187.0,11.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,188.0,12.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,189.0,13.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,190.0,14.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,191.0,15.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,192.0,16.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,193.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,194.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.092727,1.0
1000.0,195.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,196.0,4.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,197.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,1.4507674397760542,1.0
1000.0,198.0,6.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.03,1.0
1000.0,199.0,7.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,2.1010704066497574,1.0
1000.0,200.0,8.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,201.0,9.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,202.0,10.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,203.0,11.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,204.0,12.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,205.0,13.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,206.0,14.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,207.0,15.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,208.0,16.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,209.0,1.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,210.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,211.0,15.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,212.0,16.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,213.0,1.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,214.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.1940522965290001,1.0
1000.0,215.0,15.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,216.0,16.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,217.0,1.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,218.0,2.0,7.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1000.0,219.0,15.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,220.0,16.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,221.0,1.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,222.0,2.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,1.304773183829245,4.479027499429118
1000.0,223.0,15.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,224.0,16.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,225.0,1.0,9.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1000.0,226.0,2.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,1.384233870724446,1.0
1000.0,227.0,15.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,228.0,16.0,9.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,229.0,1.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,230.0,2.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,1.2667700813876164,1.0
1000.0,231.0,15.0,10.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,232.0,16.0,10.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,233.0,1.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,234.0,2.0,11.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1000.0,235.0,15.0,11.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,236.0,16.0,11.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,237.0,1.0,12.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,238.0,2.0,12.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,239.0,15.0,12.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,240.0,16.0,12.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,241.0,1.0,13.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,242.0,2.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,243.0,15.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1000.0,244.0,16.0,13.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,245.0,1.0,14.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,246.0,2.0,14.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,247.0,15.0,14.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,248.0,16.0,14.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,249.0,1.0,15.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,250.0,2.0,15.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,251.0,15.0,15.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,252.0,16.0,15.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,253.0,1.0,16.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,254.0,2.0,16.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,255.0,15.0,16.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1000.0,256.0,16.0,16.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
